khasra_no,owner,owner_aadhaar,area_acre,village,tehsil,district,state,geometry_wkt,coordinate_system
101/2,Ramesh Patil,AAD1001,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.78960881 19.99732034, 73.78999119 19.99732034, 73.78999119 19.99767966, 73.78960881 19.99767966, 73.78960881 19.99732034))",WGS84
102/3,Anita Patil,AAD1002,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79037357 19.99732034, 73.79075595 19.99732034, 73.79075595 19.99767966, 73.79037357 19.99767966, 73.79037357 19.99732034))",WGS84
103/4,Mahesh Patil,AAD1003,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79113833 19.99732034, 73.79152071 19.99732034, 73.79152071 19.99767966, 73.79113833 19.99767966, 73.79113833 19.99732034))",WGS84
104/1,Vijay Patil,AAD1004,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79190308 19.99732034, 73.79228546 19.99732034, 73.79228546 19.99767966, 73.79190308 19.99767966, 73.79190308 19.99732034))",WGS84
105/2,Geeta Patil,AAD1005,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79266784 19.99732034, 73.79305022 19.99732034, 73.79305022 19.99767966, 73.79266784 19.99767966, 73.79266784 19.99732034))",WGS84
106/3,Meena Patil,AAD2006,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79345172 19.99733830, 73.79379586 19.99733830, 73.79379586 19.99766170, 73.79345172 19.99766170, 73.79345172 19.99733830))",WGS84
107/4,Sanjay Patil,AAD2007,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.78962793 19.99805695, 73.78997207 19.99805695, 73.78997207 19.99838034, 73.78962793 19.99838034, 73.78962793 19.99805695))",WGS84
108/1,Deepak Patil,AAD2008,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79039269 19.99805695, 73.79073683 19.99805695, 73.79073683 19.99838034, 73.79039269 19.99838034, 73.79039269 19.99805695))",WGS84
109/2,Pooja Patil,AAD2009,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79115744 19.99805695, 73.79150159 19.99805695, 73.79150159 19.99838034, 73.79115744 19.99838034, 73.79115744 19.99805695))",WGS84
110/3,Ashok Patil,AAD2010,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79192220 19.99805695, 73.79226635 19.99805695, 73.79226635 19.99838034, 73.79192220 19.99838034, 73.79192220 19.99805695))",WGS84
111/4,Nirmala Patil,AAD3011,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79271564 19.99808390, 73.79300243 19.99808390, 73.79300243 19.99835340, 73.79271564 19.99835340, 73.79271564 19.99808390))",WGS84
112/1,Vinod Patil,AAD3012,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79348040 19.99808390, 73.79376718 19.99808390, 73.79376718 19.99835340, 73.79348040 19.99835340, 73.79348040 19.99808390))",WGS84
113/2,Shobha Patil,AAD3013,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.78965661 19.99880255, 73.78994339 19.99880255, 73.78994339 19.99907204, 73.78965661 19.99907204, 73.78965661 19.99880255))",WGS84
114/3,Ravindra Patil,AAD3014,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79042136 19.99880255, 73.79070815 19.99880255, 73.79070815 19.99907204, 73.79042136 19.99907204, 73.79042136 19.99880255))",WGS84
115/4,Lata Patil,AAD3015,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79118612 19.99880255, 73.79147291 19.99880255, 73.79147291 19.99907204, 73.79118612 19.99907204, 73.79118612 19.99880255))",WGS84
116/1,Ramesh Deshmukh,AAD4016,0.253,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79194132 19.99879357, 73.79224723 19.99879357, 73.79224723 19.99908103, 73.79194132 19.99908103, 73.79194132 19.99879357))",WGS84
117/2,Anita Deshmukh,AAD4017,0.253,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79270608 19.99879357, 73.79301199 19.99879357, 73.79301199 19.99908103, 73.79270608 19.99908103, 73.79270608 19.99879357))",WGS84
118/3,Mahesh Deshmukh,AAD4018,0.253,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79347084 19.99879357, 73.79377674 19.99879357, 73.79377674 19.99908103, 73.79347084 19.99908103, 73.79347084 19.99879357))",WGS84
119/4,Vijay Deshmukh,AAD4019,0.253,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.78964705 19.99951222, 73.78995295 19.99951222, 73.78995295 19.99979968, 73.78964705 19.99979968, 73.78964705 19.99951222))",WGS84
120/1,Geeta Deshmukh,AAD5020,0.2857,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79040224 19.99950323, 73.79072727 19.99950323, 73.79072727 19.99980866, 73.79040224 19.99980866, 73.79040224 19.99950323))",WGS84
121/2,Meena Deshmukh,AAD5021,0.2857,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79116700 19.99950323, 73.79149203 19.99950323, 73.79149203 19.99980866, 73.79116700 19.99980866, 73.79116700 19.99950323))",WGS84
122/3,Deepak Deshmukh,AAD5022,0.2857,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79193176 19.99950323, 73.79225679 19.99950323, 73.79225679 19.99980866, 73.79193176 19.99980866, 73.79193176 19.99950323))",WGS84
123/4,Ashok Deshmukh,AAD6023,0.1937,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79272520 19.99953018, 73.79299287 19.99953018, 73.79299287 19.99978171, 73.79272520 19.99978171, 73.79272520 19.99953018))",WGS84
124/1,Nirmala Deshmukh,AAD6024,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79348040 19.99952120, 73.79376718 19.99952120, 73.79376718 19.99979069, 73.79348040 19.99979069, 73.79348040 19.99952120))",WGS84
125/2,Vinod Deshmukh,AAD6025,0.253,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.78964705 20.00023087, 73.78995295 20.00023087, 73.78995295 20.00051833, 73.78964705 20.00051833, 73.78964705 20.00023087))",WGS84
126/3,Shobha Deshmukh,AAD6026,0.2857,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79040224 20.00022188, 73.79072727 20.00022188, 73.79072727 20.00052731, 73.79040224 20.00052731, 73.79040224 20.00022188))",WGS84
127/4,Ravindra Deshmukh,AAD6027,0.3202,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79115744 20.00021290, 73.79150159 20.00021290, 73.79150159 20.00053629, 73.79115744 20.00053629, 73.79115744 20.00021290))",WGS84
128/1,Lata Deshmukh,AAD6028,0.3568,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79191264 20.00020392, 73.79227591 20.00020392, 73.79227591 20.00054527, 73.79191264 20.00054527, 73.79191264 20.00020392))",WGS84
129/2,Ramesh Jadhav,AAD6029,0.3954,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79266784 20.00019493, 73.79305023 20.00019493, 73.79305023 20.00055426, 73.79266784 20.00055426, 73.79266784 20.00019493))",WGS84
130/3,Suresh Jadhav,AAD6030,0.4359,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79342304 20.00018595, 73.79382454 20.00018595, 73.79382454 20.00056324, 73.79342304 20.00056324, 73.79342304 20.00018595))",WGS84
131/4,Vinod Jadhav,AAD8045,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79118612 20.00239580, 73.79147291 20.00239580, 73.79147291 20.00266529, 73.79118612 20.00266529, 73.79118612 20.00239580))",WGS84
132/1,Shobha Jadhav,AAD8046,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79195088 20.00239580, 73.79223767 20.00239580, 73.79223767 20.00266529, 73.79195088 20.00266529, 73.79195088 20.00239580))",WGS84
133/2,Ravindra Jadhav,AAD8047,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79271564 20.00239580, 73.79300243 20.00239580, 73.79300243 20.00266529, 73.79271564 20.00266529, 73.79271564 20.00239580))",WGS84
134/3,Lata Jadhav,AAD8048,0.2224,Ozar,Niphad,Nashik,Maharashtra,"POLYGON((73.79348039 20.00239580, 73.79376719 20.00239580, 73.79376719 20.00266529, 73.79348039 20.00266529, 73.79348039 20.00239580))",WGS84
